"Ainsworth_Rookwood2" "Ainsworth_Rookwood3" "Badcock_RealLifeInLondon" "Bowring_MinorMorals1" "Bowring_MinorMorals2" "Cooper_LastMohicans_1" "Cooper_LastMohicans_2" "Cooper_LastMohicans_3" "Cooper_LastMohicans_4" "Cooper_TheBravo2" "Doyle_SherlockHolmes_1" "Doyle_SherlockHolmes_2" "Doyle_SherlockHolmes_3" "Doyle_SherlockHolmes_4" "Doyle_SignOfTheFour_1" "Edgeworth_HarryandLucy1" "Edgeworth_HarryandLucy2" "Edgeworth_HarryandLucy4" "Edgeworth_Helen" "Egan_LifeInLondon" "Ferrier_Destiny1" "Ferrier_Destiny2" "Galt_Spaewife1" "Galt_Spaewife3" "Gilman_RecollectionsofSouthernMatron" "Godwin_StLeon" "Hawthorne_TwiceToldTales_1" "Hawthorne_TwiceToldTales_2" "Hawthorne_TwiceToldTales_3" "Irving_BracebridgeHall1" "Irving_BracebridgeHall2" "Irving_SketchBookOfGeoffreyCrayon_1" "Irving_SketchBookOfGeoffreyCrayon_2" "Irving_SketchBookOfGeoffreyCrayon_4" "Landor_PericlesAndAspesia2" "Lytton_LastDayOfPompeii1" "Lytton_LastDayOfPompeii3" "Melville_MobyDick_2" "Melville_MobyDick_3" "Melville_MobyDick_4" "Poe_Assignation_1834" "Poe_Berenice_1835" "Poe_CaskOfAmontillado" "Poe_FactsOfTheCaseOfMValdemar_1845" "Poe_FallOfHouseUsher" "Poe_HopFrog_1849" "Poe_KingPest_1835" "Poe_Ligeia_1838" "Poe_MaskOfTheRedDeath" "Poe_Metzengerstein_1832" "Poe_Morella_1835" "Poe_Raven" "Poe_ShadowAParable_1835" "Poe_Tamerlane_1829" "Poe_TheManOfTheCrowd_1840" "Poe_TheMesmericRevelation_1844" "Poe_TheOvalPortrait_1842" "Poe_TheSphinx_1846" "Quincey_Klosterheim" "Scott_ChroniclesOftheCanongate1" "Scott_ChroniclesOftheCanongate2" "Scott_ChroniclesOftheCanongate3" "Scott_TheAbbot1" "Scott_TheAbbot3" "Scott_Woodstock1" "Scott_Woodstock2" "Scott_Woodstock3" "Southey_TheDoctor1"
"the" 5.94747123941828 5.66694575419733 7.4112578595429 6.13682092555332 6.55452916034744 8.86761145717161 8.50329036819492 8.70310417063416 8.97146432360382 8.97334310105103 5.21120293847567 5.66463811382861 5.82045002296036 4.76883037354562 5.41938176842984 5.00692577201988 5.73777801558849 5.22771174494892 3.92105378320424 6.71209401011915 5.00993865817428 3.56426075968186 8.08381612431642 8.00152825914909 6.55321208210671 6.22738513601458 7.56456055193477 7.34760670939588 7.57670803218328 7.38862652070774 7.69378023737426 6.85308927383855 8.12933464230294 7.01548791689101 5.77183905158989 0 0 6.96180820246989 7.40246621814786 6.87973791474611 7.74266365688488 7.44215134459037 7.15203426124197 6.53280542986425 7.81468043538934 8.37260881619074 8.07519760734886 8.53896103896104 10.8398841539098 9.69176993962504 7.23746452223273 5.12351326623971 9.84924623115578 6.23393316195373 6.71981776765376 7.97858099062918 8.14584949573313 8.72156013001083 7.82177088087631 6.72608298867983 6.7807304938721 7.09321289675072 7.37910907543269 7.52407591657437 6.19088732781288 5.64693949550185 5.8382053025153 6.40712636093698
"and" 2.59387887996527 2.44128145243026 3.59667653614558 3.93791319344639 3.91286364263064 2.76636835949188 3.21694675586012 3.19667002203662 3.18000054405484 2.55505554143556 3.00352004897459 2.96245263520496 2.81647022807286 2.73652786282915 2.73403983952879 3.30807463537847 3.24968341448624 3.12896994587822 2.98017592227911 3.1071486861433 3.7360805351914 3.19073812532521 3.82262169040013 4.02259640313293 3.87143606081381 3.58779122738514 3.43868451910229 3.28105822991954 3.32742397381699 4.01749766044963 4.08443841147193 3.93957627387022 4.09158564778161 4.41833211921579 4.2623197870096 3.76740053312272 4.2429077130179 2.78624790364385 2.8169014084507 3.27606567368862 2.7765237020316 4.56535334584115 2.61241970021413 2.31900452488688 3.41892269048284 2.99417798724702 3.97350993377483 3.19805194805195 5.17170045510964 3.11407689863362 5.3926206244087 3.47666971637694 6.23115577889447 3.08483290488432 4.01480637813212 1.79384203480589 5.04266873545384 2.22101841820152 2.72136010953902 3.2737228403332 3.14767625288193 3.22669677581232 3.58518098171943 3.38846233268881 3.45355362819356 3.26115717057682 2.9530931339225 3.61816782140108
"to" 2.3044642211128 2.46331467853523 2.8365048737483 3.29405001437195 3.00013787398318 2.64940293229606 2.77913743405667 2.60630628179666 2.41832376703572 2.9333054255685 2.64003673094582 2.43043594748727 2.44145109444359 2.75949173300674 2.50678292326601 2.70512507129471 2.59154226193661 2.74089414057741 3.05457091593366 3.09286763505794 3.02861906085024 3.15171337248197 3.16746981428339 3.25300876019977 2.7019397507763 3.44591956267083 2.29336532955196 2.02100095458884 2.10282285558434 2.65947028226947 2.3859246110473 2.47331918801659 2.12813123475948 2.28042948088557 2.69252021901844 2.84332115707375 2.44303734357082 2.14971794480866 2.19939392784311 1.97516285093901 1.98645598194131 1.53220762976861 2.09850107066381 3.33710407239819 1.674574379012 2.99417798724702 2.39265114291818 1.72077922077922 1.9859329747621 2.09723546234509 1.70293282876064 0.548947849954254 1.10552763819095 1.54241645244216 1.56605922551253 2.46318607764391 2.1722265321955 2.16684723726977 2.69283432222729 2.95916584143997 2.89042591918456 2.89800526910049 2.81099266345102 2.66383825489497 2.78835210549037 2.76503792556006 3.04282800815772 2.34026173979985
"a" 2.45278923377469 1.81113118582823 2.72505738713863 2.06668582926128 1.98814283744657 2.30938715556402 2.12378310763039 2.46755719998912 2.33671554092653 2.03328000956838 2.54820936639118 2.51081256937268 2.64809429052503 2.3958971218616 2.53924819701783 1.50126293489774 1.76396097526174 1.83074326088091 1.29972430090587 2.99290027746042 2.46863444974031 1.88991303055081 1.77594888732471 1.72474961111263 0 1.85474424053104 2.6205993837092 2.94013364243829 2.83921996454384 2.73346536377288 2.62260276356549 2.47015232606011 2.40364822497387 2.66683558736895 1.43165720600794 2.13051633922401 1.87465722690333 2.01440768409819 2.24132344813128 1.85516742219344 2.32505643340858 2.37648530331457 2.78372591006424 1.86651583710407 2.23276583868267 2.57831993346271 2.60628070925016 2.30519480519481 1.94455937112122 2.7009850651414 1.51371807000946 1.37236962488564 1.4070351758794 2.50642673521851 2.44874715261959 1.49933065595716 1.78432893716059 2.00433369447454 2.17937015061616 2.13199743694297 1.86870525421672 2.04993099987455 1.90304405982733 1.57877940265445 2.07998116243476 2.05724113600282 2.0693405846363 2.10931485758276
"in" 1.38919036249186 1.40571982549685 2.05595661864999 1.52055188272492 1.68206259478836 1.69463863123249 1.66149997280687 1.79557635280355 1.97763934604608 1.8658334205451 1.68732782369146 1.73383855781376 1.6301852135313 1.69167176974893 1.5768847250887 1.46867106656889 1.60343874293256 1.4809529610358 1.44851428821496 2.1666394646646 1.64361895398294 1.37144131420501 1.55936975472413 1.58556886717791 1.72198249788281 1.88923597553039 1.65525892394535 1.63916541660985 1.54643392881495 1.97828026725282 2.08659635933312 2.00779048041296 1.95712068910916 2.02704842745384 1.94152810569147 1.71389080856945 1.58298848282395 2.10207348681201 2.11934666183842 1.71231572130586 2.18961625282167 3.03314571607255 1.45610278372591 1.86651583710407 2.02344404130617 1.80205156639867 2.30719931638539 2.12662337662338 2.02730657840298 1.90657769304099 1.84484389782403 0.640439158279963 2.21105527638191 1.86375321336761 2.27790432801822 1.98125836680054 2.1722265321955 2.32936078006501 1.94545869465997 1.53977592668104 1.56049023176799 1.46782085058336 1.49770986178104 1.52246146914716 1.69341862564264 1.70003527959076 1.64785859959211 2.1401077752117
"i" 1.46516171044063 1.65249195787247 0.753933929937789 1.25035929864904 1.17468633668827 0.63650953404238 0.535704573883722 0.402644394265038 0.39988030793504 1.08690776982074 2.7089072543618 2.59884410762812 2.80116332465942 3.37951622780159 2.81752197203349 2.29365273364296 1.64802825191289 1.57666672467501 1.80517264014704 0.720173004733148 1.08363434287302 2.16494462201739 1.03416535816774 1.07523947275059 1.86716135016333 3.4192372771053 0.591748247934335 0.624573844265648 0.823673803354698 0.796535289124899 0.616059308760572 0.801216074991291 0.988060930424043 0.310391790453869 1.52961269905059 1.36439924967914 1.20656130029416 0.64034151547492 0.526024890887953 0.929488400441888 1.48984198645598 2.34521575984991 4.75374732334047 2.88461538461538 2.3862684900921 0.720820626559468 0.384533219397565 2.71103896103896 0.0827472072817542 0.254210359072132 2.64900662251656 2.92772186642269 0.804020100502513 2.18508997429306 1.7369020501139 1.52610441767068 1.62916989914663 2.27518959913326 0.627567320858056 1.58637696355411 1.47797597378959 1.53807552377368 1.27882939483604 1.51870694024667 1.36964797299949 1.75295466572588 1.66417403127124 0.895194105355768
"that" 1.17574705158816 1.05539153042789 0.869955753684421 1.30784708249497 1.28774300289535 1.09077061175639 1.06325121009409 1.19433033163751 1.14251516552869 1.28126541779419 1.5993265993266 1.63049718681823 1.64549211694474 1.79883649724434 1.45166152633166 1.63570439175426 1.63019244832076 1.67238048831422 1.47914752089624 0.911947119307981 1.09218372624874 1.10570133055824 1.48356705831393 1.51188494391835 0.939629793926685 1.58206429780034 1.17531564451474 1.0200463657439 1.15368880403655 1.04463644475397 1.1729490793916 0.950058586946195 0.946891724989708 1.06736768758116 1.14783744411514 1.47497285023201 1.31874158647854 1.46935508461656 1.48087442108674 1.32375909489162 1.21896162528217 1.28205128205128 0.728051391862955 1.24434389140271 1.14429249232487 0.720820626559468 0.619525742362743 1.18506493506494 1.19983450558544 0.985065141404512 0.851466414380322 1.55535224153705 0.603015075376884 1.15681233933162 0.882687927107061 1.39223560910308 1.08611326609775 0.75839653304442 1.27225011410315 1.11842488495369 1.19645674068681 1.07389286162338 1.07818896680313 1.09256791004149 1.14791413209843 1.0672076203916 1.06594153636982 1.40987572858243
"his" 1.51942695897547 1.38368659939188 1.246714794238 1.16412762288014 1.01475251620019 1.73816065065419 1.78930766302279 1.90984030252741 2.16261799189358 1.30369130025266 1.14018977655341 1.41233207027213 0.86484004285933 1.01806491120637 1.11309510006261 0.757760938645808 0.690245599015464 0.844021370273045 0.619228917771651 1.14656438713889 1.64148160813901 0.841819668475433 1.60268558124425 1.27172993477608 1.27031495745453 0.905245346869712 1.43164898693791 1.1891449611346 0.957316241647348 1.63877342270778 1.55233023563398 1.46309022389714 0.902555657598885 2.16640800684129 0.650524940975536 1.18669167736203 1.47080819663958 1.20445189815521 1.09397930206408 1.18852615138471 0.767494356659142 0.0938086303939962 0.728051391862955 0.989819004524887 1.24197599776723 1.5248128638758 1.43131809442427 0.0811688311688312 0.827472072817542 2.16078805211312 0 0.640439158279963 0.402010050251256 0.38560411311054 0.911161731207289 0.562248995983936 0.853374709076804 0.487540628385699 1.08968507530808 1.37278887788587 1.2668365489625 1.24451135365701 1.30720278869928 0.887946084964989 1.48542050939916 1.4707179396719 1.50373895309313 1.00956779940614
"of" 0 0 0 0 0 4.44468623344123 4.27204002828085 4.06725249612319 4.53469709746742 0 2.58264462809917 2.74811497684388 2.70932190417878 2.08588487446418 2.59722190014609 0 0 0 0 0 0 0 0 0 0 0 3.78228027596739 4.06927587617619 4.35292513296059 0 0 5.01314247711942 5.12714950755297 5.00744306844456 0 0 0 3.5142552218326 3.25906725876232 2.59609157746372 4.96613995485327 5.34709193245779 3.21199143468951 3.53506787330317 5.79123639408317 3.65955087330191 5.14847254860073 5.86038961038961 5.04757964418701 5.94216714331109 4.73036896877956 2.0128087831656 6.73366834170854 3.72750642673522 5.3246013667426 4.41767068273092 4.26687354538402 6.28385698808234 0 0 0 0 0 0 0 0 0 0
"was" 1.17212936835251 1.26030053320407 0.937739113077614 1.63265306122449 1.69860747276989 0.922122786497294 0.935443519878175 1.0474195391354 1.08538940725225 1.04205600490379 1.38506274869911 1.41233207027213 1.19393846624828 1.40462339252909 1.33107622382487 1.24052798826693 1.44113293024417 1.49835546351565 1.53603781016148 0.971111473804472 1.48973005321991 1.08897643648257 1.23991553413829 1.18440084054253 1.38726458845828 1.62696863204477 1.07987237871888 0.801854629755898 0.886403927451248 1.48425428192126 1.46009536737322 1.10840168477056 1.17173892390031 1.34608684635606 0.585221278947104 0.965544476256294 1.0470160043875 0.70894953499009 0.680401761039852 0.77139918479296 0.632054176072235 0.813008130081301 1.15631691648822 1.86651583710407 1.14429249232487 1.58026060438037 1.0467848750267 1.07142857142857 1.90318576748035 0.667302192564347 0.614947965941343 0.548947849954254 1.10552763819095 0.6426735218509 0.854214123006834 0.240963855421687 1.39643134212568 1.13759479956663 1.11250570515746 0.850468922933535 0.723213202281277 0.8254924099862 0.954562036399011 0.745273986746513 1.00074565362427 0.923884282942318 0.734194425560843 0.961178928846365
