"ADream_1831" "Berenice_1835" "CardboardBox_1" "Destiny3" "HarryandLucy3" "LastDayOfPompeii2" "MinorMorals3" "MobyDick_1" "PericlesAndAspesia1" "Rookwood1" "SketchBookOfGeoffreyCrayon_3" "Spaewife2" "TheAbbot2" "TheBravo1" "TheDoctor2" "TwiceToldTales_4"
"the" 10.7883817427386 7.44215134459037 4.51075641915337 3.87123064384678 5.95202147290723 0 7.06596955251422 5.76186574700379 5.40935310573614 6.65573322399891 7.47355754005954 7.59171278836264 6.84634168400108 9.18399425158306 5.61636419273592 7.05070507050705
"and" 2.15767634854772 4.56535334584115 2.93777469349988 3.24187267952549 3.4289548733434 3.76296230361832 3.76749192680301 3.14578053846007 4.16656351348006 3.006696733634 4.13579074038888 3.61953274232257 3.57239757619607 3.29186688822024 3.42254548878375 3.48580312576712
"to" 1.57676348547718 1.53220762976861 2.47513300948415 3.23281716924749 2.66062741150814 2.79051137122257 2.96401660771951 2.27121163043271 2.7826603619439 2.41219078857455 2.11223003356767 3.20566194837635 2.93750565252781 2.92360892801006 2.64341030529859 2.05384174781114
"a" 2.32365145228216 2.37648530331457 2.68332176729123 1.91750430136738 1.93927193423922 2.02278695091014 2.10287559587882 2.67896271173523 1.41856262223653 2.2686893535602 2.67908037241117 1.61874908164765 2.00777787826716 2.28589392374366 2.05964738836711 3.02484793933939
"in" 2.15767634854772 3.03314571607255 1.59611380985427 1.53717286969121 1.65744002684113 1.64003738484134 1.90681224050438 1.82344759255378 1.76020597628302 1.60926609266093 2.05522832351637 1.73384924327766 1.5411051822375 1.71105222975704 2.24325024127298 1.5519733791561
"i" 3.81742738589212 2.34521575984991 2.93777469349988 1.9650457303269 1.4829726555947 1.32849704036673 1.52237428878979 1.67101728178648 1.84190330007675 1.37351373513735 1.0576983976186 1.1142675221629 1.26254861173917 1.1541743387075 0.774427418026034 0.643700733709735
"that" 0.912863070539419 1.28205128205128 1.78117048346056 1.15684143801503 1.43935581278309 1.38857982108683 1.05720436721513 1.34710287140598 1.24774094521328 1.25392920595873 0.842358604091456 1.56487241024636 1.11784389979199 1.3517761710154 1.4217451686557 1.05283255598287
"his" 0.663900414937759 0.0938086303939962 0.624566273421235 0.513900208276736 0.865626572722697 1.09484178201077 1.29555589727818 1.26707695825315 0.708043472878964 1.85185185185185 1.0956995376528 1.48895528236274 1.11422628199331 1.1856109938474 1.26403502577502 1.27921883097401
"of" 5.06224066390041 5.34709193245779 2.3941707147814 0 0 0 0 2.91332431453995 0 0 4.84514535436063 0 0 0 0 3.86493194774023
"was" 1.6597510373444 0.813008130081301 1.64237797825584 1.12967490718102 1.32192585136722 1.06368774756331 1.12255881900661 0.939351790103462 0.673384002178595 1.4623479568129 1.26987142947622 1.10202282411716 0.75969973772271 0.862262540979925 1.23814231574983 1.00100919182827
"he" 0.663900414937759 0.250156347717323 1.07564191533657 0.704065924114824 1.48632779734944 1.03475900129067 1.4647085960326 1.1051197530629 1.13385982719778 1.4486811534782 0.880359744125657 1.49630210119018 1.05996201501311 0.983518210805227 1.11809429654215 0.709161825273436
"it" 0.995850622406639 1.21951219512195 1.35322692574601 1.07081409037399 1.98288877705083 1.10596822288486 0.945717361217899 1.05176914429434 1.3393409749214 1.09676096760968 0.798023940718222 0.722437184699025 0.853757800488378 0.866753491714196 1.30169714944801 0.878269645146333
"with" 0.746887966804979 0.875547217010632 0.809622947027527 1.02100878384497 0.62070122462674 0.94797276247274 0.757342764877749 0.805975268182078 0.705567796400366 0.966926335930026 1.21920324276395 1.1191654013812 1.09613819299991 0.934117752728253 0.765011887107784 1.1482966478466
"as" 1.6597510373444 1.00062539086929 0.994679620633819 0.962147967037943 0.905888273779567 0.7521474030887 0.565123789020452 0.735476249452204 0.678335355135791 1.02842695093618 0.782190132370638 0.631826419160504 0.982183232341503 0.741006871154623 1.00275404279359 0.897362463519079
"is" 0.0829875518672199 0.562851782363977 0.902151283830673 0.805940414742371 0.936084549572219 0.838933641906627 1.1802245117638 0.754530038298116 1.25021662169188 0.447587809211425 0.763189562353537 0.568153989322623 0.604142172379488 1.07333722549064 0.908598733611091 0.455500095464092
"for" 0.995850622406639 0.469043151969981 1.01781170483461 0.957620211898941 0.872336856232176 0.747696826739063 0.461325542057512 0.752624659413524 0.760032678929518 0.714090474238076 0.532015960478814 0.754273399617965 0.826625666998282 0.700588314546189 0.94626085728409 0.616425278891526
"you" 0 0.0312695434646654 1.27226463104326 1.34247939871412 1.22127159872505 0.362721972495438 0.55743502998616 0.432521006802203 1.13881118015498 0.399753997539975 0.0728355183988853 0.805701131410099 0.987609659039522 0.282929896259038 0.216557211119742 0.21002100210021
"had" 1.16182572614108 0.625390869293308 1.16817025213972 0.681427148419813 0.768327461835263 0.520717432907562 0.649700138397663 0.365832745841511 0.339167677567895 0.813174798414651 0.766356324023054 0.746926580790518 0.636700732567604 0.50298648223829 0.715580349786974 1.02555710116466
"not" 0.4149377593361 1.12570356472795 0.39324543141337 0.792357149325364 0.845495722194263 0.807779607459166 0.703521451637706 0.565897528723587 0.985319238481915 0.792674593412601 0.342010260307809 0.791007493755204 0.624039070272226 0.826334935105762 0.833274486265094 0.373673731009465
"but" 0.580912863070539 0.75046904315197 0.809622947027527 0.953092456759938 0.85556114745848 0.687614046018959 0.768875903429187 0.897433454642456 0.750129973015126 0.635506355063551 0.437013110393312 0.761620218445413 0.654788821561002 0.579332644720887 0.600240096038415 0.572784551182391
"which" 0.746887966804979 0.469043151969981 0.728660652324775 0.450511636330707 0.811944304646871 0.705416351417509 0.657388897431954 0.268658422727359 0.316886589260515 0.4236709033757 0.775856609031604 0.541215653621982 0.909830876367912 0.651187856469215 0.998046277334463 0.668248643046123
"be" 0.0829875518672199 0.312695434646654 0.508905852417303 0.799148782033868 0.627411508136219 0.505140415683831 0.526679993848993 0.55446525541604 0.750129973015126 0.577422440891076 0.389511685350561 0.614683841896459 0.5046576829158 0.700588314546189 0.793258479862533 0.520961187027794
"at" 0.49792531120332 0.594121325828643 0.971547536433033 0.636149597029793 0.674383492702567 0.616404824424763 0.392126710748885 0.657355715183964 0.492659619240958 0.591089244225776 0.649186142250934 0.528970955576236 0.531789816405897 0.359276058741636 0.517854200503731 0.559146823773286
"by" 0.24896265560166 0.469043151969981 0.358547305112191 0.373539798967672 0.593860090588827 0.623080688949219 0.68045517453483 0.430615627917611 0.509989354591142 0.529588629219626 0.658686427259484 0.592643385414116 0.564348376594013 0.435622221224233 0.557870206906292 0.48004800480048
"my" 0.580912863070539 1.75109443402126 1.11034004163775 0.821787557728878 0.318738466700218 0.542970314655748 0.565123789020452 0.398224186879561 0.586735325427673 0.4646713133798 0.35151054531636 0.479992163393251 0.835669711494981 0.561368841783806 0.291881458465739 0.406404276791316
"her" 0.24896265560166 0.875547217010632 0.82118898912792 1.55075613510821 0.610635799362523 0.89901642262673 0.149930801168691 0.160051826305661 0.465427177976382 0.720923875905426 0.171005130153905 0.859577802811383 0.801302342407525 0.273947994790497 0.426052774050797 0.711889370755257
